text,,rate
@united my mom lost phone and was found but keeps getting bounced out of country for response can u please dm me for best way to retrieve?,1,0.8442
@united Maybe this will will help Customer Care fix the issue I submitted to you in January! I expect to be treated better.,1,0.8439
Free wifi thanks to Fly-Fi. Not a bad perk @JetBlue,1,0.8422
"@united yes. I already know this!  That is the issue. your ""CUSTOMER CARE"" ""Specialists"" told me REVENUE was more important than customers",0,0.8409
I think I lost my dog on one of your planes xD help me find it xD @SouthwestAir,1,0.8402
@united I hope the customer care reps online are better than the ones in Houston airport. Prob wont fly w/ yall again #poorcustomerservice,0,0.8402
On hold now for 5 hrs! Can you please help??? Heading from palm beach to DC. My flight was canceled.Where is the help??? #HELP @AmericanAir,0,0.8382
Thankful for the amazing @JetBlue gate agents in #Boston for handling the delay of our flight extremely well! #jetbluerocks,1,0.8353
@united I value you. like you value animals. I hope you get left on the tarmac after you pay a hefty price #UnitedHatesDogs,0,0.8316
Best part of my day so far was the @united rep at LBK airport telling me I'm still young and not a failure for missing my flight,1,0.8312
hey @JetBlue i know my flight delay sucks but thanks for the free snacks!!!,1,0.8306
C'mon @united #UA5225 delayed in almost two hours in 10 minute increments! Better communication please! Want to get home!! :),0,0.8302
"@AmericanAir My FF act login locked. call for weeks to fix but phones say ""weather. please call back"". Can I get help or wait til May?",0,0.8301
@VirginAmerica SO impressed with  online chat teammembers Wendy &amp; Holli H! SO courteous &amp;helpful as I cancelled my itinerary due to weather,1,0.8291
I've said a million times that I will never fly @united again but after today I can honestly say that's true  #NeverAgain,0,0.8271
glad @VirginAmerica fixed a system issue so I could book flights home for the holidays. Darlene was extremely nice and polite.,1,0.8268
@SouthwestAir I hate flying with anyone but Southwest. You guys are the best. please don't ever change what you do!,1,0.8268
@JetBlue well what a shocker! I never got  the $15 credit promised for either flight that my inflight entertainment system was not working,1,0.8268
I was mad that my flight got canceled but @united got me an even better flight!  please snow don't mess this up,1,0.8251
@DeltaAssist Thnx for the help with my tix but I am still having issues.  Sent you a private message.  Please help!,1,0.8244
@VirginAmerica flew with you guys for the first time ever and loved it. Any chance you guys can help with switching a flight?,1,0.8225
shout out to @AmericanAir for actively ruining my life and delaying my best friends flight for an hour ,0,0.8225
@DeltaAssist hi delta assist. trying to call elite line but on hold forever an hour. Can u book my friend comfort plus?,1,0.8201
Was very happy to receive a $25 @VirginAmerica travel bank credit w/o even asking after a 3 hour delay. Thanks!,1,0.8169
@VirginAmerica major delay on other #flight staff was more than happy to get other flight for family! Why I love y'all!#flyabovetherest,1,0.8158
Not my day today! I called @JetBlue to ask for help in solving an issue and the supervisor wouldn't help. it wasn't even about $$. UNCLE!,0,0.8118
@americanair After an almost hour delay on the tarmac in #pbi we've landed safety at #dfw. Kudos to the pilot for the constant updates! :),1,0.8111
@AmericanAir please help me get on the 1pm flight out of Phoenix-LAX. I need to get home and my flight was delayed 3 hours!! Please please,1,0.8065
@united you never fail to suck at everything. calling that in-flight entertainment on a 5 hour flight is laughable. http://t.co/mB9vMAsd9K,0,0.805
United airlines leaves dog on rainy cold runway for half an hour despite alerts! @United SHAME ON YOU! PLS RT http://t.co/oiAwqNRzIS,0,0.8027
@DeltaAssist please help reset my password. I was on hold for 20 minutes and never got he promised email for reset. Please help!,1,0.801
Also I know y'all gonna think I lost it. but I'm very impressed with @united. Totally painless even though I was running late.,1,0.8008
@AmericanAir help! took off 2hrs late lax-dfw. looks like my friend and i are gonna miss our connection to atl.  Can you rebook/reroute us?,1,0.7959
@SouthwestAir Ty 2 ur amaze crew! Lost my daughters stuffed animal on flt 3663! Can they help? http://t.co/QDA7XzOf9A,1,0.7955
wow never had such rude flight attendants on @JetBlue until now. got yelled at for having my larger bag up top and he tossed my laptop in.,0,0.7952
Finally time to switch airlines! Loyal member since 1994 w/ @AmericanAir &amp; as a Platinum member should be treated w/ more respect! #terrible,0,0.7951
Wish I didn't have to leave #Indy so soon. It's times like these I wish I booked with @AmericanAir. They're never on time. #poorlyruncompany,0,0.7934
@JetBlue Is it possible for you to provide me with contact info for a significant customer service issue?  Want to resolve amicably. TY.,1,0.7925
"@VirginAmerica ""We probably should have said something sooner but your inflight entertainment isn't working"" I'm disappointed in you Virgin",0,0.7924
@DeltaAssist I understand your policies. but we have ppl working in health care who cannot leave due to patient care. No refund.Disappointed,0,0.7919
"Haha.   Flying @united for hopefully the last time ever and sure enough. the gate announcement starts with:  ""We are delayed..."" #neverfails",0,0.7906
Ah the beauty of dropping from EP to P on @AmericanAir is you can save all those upgrades because you'll never get to use them. #falsehope,0,0.7906
@DeltaAssist Need help with a ticket and an issue with a credit on my account.  Can someone help?,1,0.7906
huge props to @JetBlue for free wifi! TV and free wifi? I've been completely missing out!,1,0.79
All flights cancelled through Dallas. Wish us luck! Any help @AmericanAir?! #StrandedinSaltLake,1,0.7896
My flight home is very delayed @united very glad I am a united club &amp; 1k premiere member! I can wait in comfort with drinks. food. &amp; TV.,1,0.7879
@AlaskaAir flight 649 was a 3 hour delay. but yes we finally got on our way. :),1,0.7845
hey @VirginAmerica I love you but your website is NOT working. Have tried Chrome. Firefox. and my friend is trying on his computer. Whaaa:(,1,0.7845
@VirginAmerica my flight was cancelled but I paid for the seat upgrade. Will I be refunded? thx for the help!!,1,0.7835
@JetBlue trying to use a travel bank credit and it looks like it was never assigned to my account. Who can I email to help with this?,0,0.7783
@AmericanAir you promised to send us a $1400 credit months ago. We're still waiting for it. Is this how you treat military families?,0,0.7783
@united Need help with bags issue please. My United record locator is lryfl6 for last leg Sfo Vancouver. Can't make that flight,1,0.7783
@DeltaAssist I need to cancel an award ticket and I have not been able to get a hold of an agent on the phone.  Please help asap!,0,0.7777
@JetBlue finally collected my lost baggage at LAX. on the way back to India !! Thanks for all your help. much better response than Etihad.,1,0.7772
@AmericanAir my wife is on the tarmac waiting to be taxied in at ORD and her flight to London AA 98 leaves in 20 minutes.  HELP PLEASE!,1,0.7755
@united why is united express always late and then rolling delays that just tease. Upfront honesty better . A plane can't leave b4 it arrivs,0,0.7749
@AmericanAir PLEASE HELP with my delayed bag! After 4 days has not been delivered yet! I can't believe that! Everyday I receive a new story!,0,0.774
@JetBlue long flight delay in LGA but best customer service by Eddie!! #mosaic,1,0.774
Impressive customer service - @AlaskaAir giving free lunch vouchers to entire flight after having to delay flight for mechanical issues.,1,0.7717
@united A United lost baggage rep transferred me to a sex line instead of Customer Care. One rep laughed. another said she'd done it before.,0,0.7717
@united please help. lost iPad on flight UA818 from EZE to IAH. SEAT 37F seat pocket. Service reps arent assisting. Can you help please?,0,0.7717
@AmericanAir why so you feel it is ok to treat people poorly? Why do you make it impossible to reach anybody that help you in customer serv.,0,0.7717
@AmericanAir can you help me. I missed my flight to Shreveport. and I need to get there!!!! Can you help please,1,0.7696
@AmericanAir flight 2265 to SFO cancelled tonight. nothing but lines. how can I confirm I will have a flight for tomorrow?? Please help!,1,0.7685
@AmericanAir please find my lost bag from flight 2438 DFW-RSW. File locator TGEFJK. PLEASE! PLEASE!,1,0.7684
@united okay UNITED is anyone listening. 10 DAYS now and still waiting for SOMEONE to respond.  What happened to CUSTOMER SERVICE!!!!,0,0.765
Two times Trini's of the year Trini's are on time: Christmas and Carnival!!! Not missing that flight! Can you relate? LOL @JetBlue #JetSetGo,1,0.7642
Once again. @United proves why they're not the worst airline. they're the worst people. #unitedwithivy http://t.co/zjGNIbk74n,0,0.7641
Stuck on a plane with no wifi ... @SouthwestAir.  Glad Las Vegas airport wifi is strong! Hope maintenance is done soon. though!,0,0.7639
@SouthwestAir I got an automated voicemail that my flight today was cancelled. but online the status still shows on time?! Please help!,1,0.7639
Wow @JetBlue don't hurt yourselves with that Veterans discount.  #really #fail http://t.co/LvlYaEtIH5,0,0.7633
@SouthwestAir been on hold 2 hours already! You changed out flights and split up our party! Need help!!!,0,0.7627
@united 10 hours later and United Air still cant fix a problem because it seems like all their reps are in Manila. Try hiring Americans,0,0.762
@AmericanAir your customer service at the booking counter treated a saint like an asshole. She shouldn't be crying.  Unacceptable.,0,0.7604
@AmericanAir wait please help my mom is having a baby on a plane! What do I do!?!?!,1,0.7599
@SouthwestAir act like they care about you and then don't even respond when the problem is stated. JOKE! I want my money back. All of it,0,0.7597
HA - get it?  It's one of the few things we haven't figured out how to screw you on! @united continues to amaze. http://t.co/Bit2fpy4W7,0,0.7597
after a 2 hour delay I wasn't mad just annoyed but @JetBlue surprised me w/ a flight credit today...that's why you guys are #1 ,1,0.7584
@AmericanAir please help I asked the flight attendant three times now for a refill on the soda and she acts like i've never asked before,0,0.7579
Come on @AmericanAir flying on business class and not even a glass of water waiting departure... huge behind worldwide best airlines,0,0.7579
@SouthwestAir refusing to resolve the issue. I do not plan to be loyal to a company that does not return the same loyalty.,0,0.7579
@VirginAmerica I am in love with this airline! Thank you for getting me home when American Airlines cancelled my flight and offered no help,1,0.7574
65 min delay. but boarding 30 min before scheduled. I love @VirginAmerica! #LeavingLasVegas,1,0.7537
dissapointed with @AmericanAir flight 143 !!! delayed in plane for 2 hours ac is off and just now you want to offer water????,0,0.7533
@jetBlue has FREE wifi on flights. Unbelievable!! I will never fly another airline.,1,0.7519
"Please @AmericanAir explain to me why when you book an award ticket with a #britishairways connection. the ""taxes and fees"" are $$$$??? #sad",0,0.7461
Hey @DeltaAssist we bought a ticket &amp; now need to cancel it. As a comedy festival we need to hold onto that credit for booking another act.,1,0.743
@VirginAmerica. I was asked if I could check my bag to help out. Being awesome. I said sure.  Then you broke my bag. and now you won't fix?,0,0.743
@united United lost our luggage for our honeymoon in Cancun...we have nothing. Called # United rep gave us and nobody has answered. Help!,0,0.7424
@DeltaAssist help! One of our bags was left off our flight and the agent is refusing to deliver it but the late check wasn't our fault :(,0,0.7421
@VirginAmerica Hey! Looking for the link on your website for claiming missing miles. Can you please help me find it? Thanks!,1,0.7418
Wow really @JetBlue u should tell your flight attendants to not be rude to their customers. I knew i wouldnt be able to put my carry on item,0,0.7415
Dear @JetBlue I'm amazed with your in-flight experience. but your support is awful!!! Can you make humanity not only in clouds. please?,0,0.7412
Still can't believe how dismal the dining choices are at @AmericanAir JFK. Such a new and HUGE terminal with so few choices. Major #fail,0,0.7394
@SouthwestAir I've been on hold trying to get a hold of you for 45 mins! Can I get some help please!?!?,0,0.738
@united I'm going to be supremely late for a TK34 flight.  Is there anything you can recommend? On UA3525,1,0.7351
@united never ever ever use this airline. me. my family. my friends. my neighbors. my family friends. my college mates ...,0,0.7351
Hey @AmericanAir. my award tickets were switched by AA for 2 of 4 members of my family to dramatically different routing. Can you help?,1,0.7351
@DeltaAssist Your refund policy &amp; penalties sucks! You should value loyal customers and provide better customer service. #delta,0,0.7345
@united yup. Train your employees to treat their customers with courtesy and respect and not like cattle #worstairline,0,0.7343
And Im flying. Woohoo!! Free wifi too. So why is @jetblue flying and every other airline cancelled every flight?,1,0.7339
@AmericanAir Please help! Flying BOS-LAS w/my partner in Nov &amp; he's NEVER flown. no seats to choose together. rep said flight only 20% sold.,1,0.7335
@united this is really hilarious now. I don't even get mad these days. But really??? Not a single flight In last 1 year was on time for me.,0,0.732
Was bragging to my family about how @AlaskaAir was the best but after an hour of waiting on the runway. I wish I could take it back #annoyed,0,0.7311
Alright @SouthwestAir time to redeem yourself. Please don't fuck up my return flight.,0,0.7311
@united I just SHARED my experiences. How can you now ask ME to send another message to someone else? Haven't I suffered enough? Asinine.,0,0.7287
30 minute flight delay = free water and snacks? Great first experience with @JetBlue ... #CustomerService,1,0.7269
Disappointed that @SouthwestAir cracked my suitcase &amp; won't cover it. Not the service or care I hope for as a loyal customer. #WheresTheLuv?,0,0.7269
Done w/ @AmericanAir! Msg to cust relations 2/26 &amp; no response. Due to AML I couldn't fly last fall &amp; won't let me use tix to go this yr!!,0,0.7012
tried 2 switch a flight I made this morning. but @JetBlue won't do it w/out charging me 20k pts! loyal cardholder. Time to change airlines??,0,0.7005
Best gate agent ever handled 4 hour delay for Flt 26 to JFK with aplomb. information and snacks.  Thanks @VirginAmerica,1,0.7003
@VirginAmerica I've never flown you guys. seems like a fun airline. why don't you depart out of Sacramento?,1,0.7003
@DeltaAssist #badservice 11hr delay&amp;no lounge access/apology.way to treat loyal deltaplatinum flyer who now won't sleep before a big meeting,0,0.7003
Truly disappointed by @AmericanAir &amp; the way they have treated a loyal customer. I hope to hear from you in the morning #fail #Airlines,0,0.7003
Life requires I take time out of the HOURS I've spent w @united &amp; the insurance co to get them to honor their promises #badservice,0,0.7003
@united our flight got delayed &amp; now missed our connection flight having to stay overnight &amp; you won't comp a hotel? worst airline ever,0,0.05
@united flight delays may be out of your control; lack of communication is not. Unacceptable flt. UA4373 from EWR,0,0.0464
@SouthwestAir fines a way to piss me off every time NEVER FAILS,0,0.045
@jetblue really rude. pretending to be positive flight attendant BOS to PHL at 10 pm. Not well received.,0,0.0442
WOW- quite possibly the worst thing @SouthwestAir could have done... You may never see me on your planes again. #WorstCareInTheAir,0,0.0437
.@AmericanAir got in line for a call back where I wouldn't lose my place in line 4 hours ago. Was promised a call back in 2 hours. So angry,0,0.0426
@AmericanAir nope. Not an excuse. It was not weather related.,0,0.0424
@SouthwestAir always delayed when I fly them now. They never post the delay until already at airport. Still better than oth options. Sadly.,0,0.0418
"@AmericanAir I did call them. they just told me that it is finally transferred to their ""claims"" but will take another 8 weeks. sigh",0,0.0387
Do not fly with @AmericanAir when its raining because your flight will never leave and you would be at the airport for bout 8 hours forreal,0,0.0382
@deltaassist Me and 100 other people sitting in Sydney because delta won't release flight coupons. Can't leave.,0,0.0382
never did get my discount from @united for #ONA14 since the code didn't work &amp; their customer service won't help me. :(  #newairlinenexttime,0,0.0382
Can't believe @JetBlue won't allow bike bags to Dom Rep when all other major US airlines don't have such restriction #unfair #jetblue,0,0.0382
On @United flight UA127 &amp; had to go back to Ireland. We've been on the plan for over 5 hours. They haven't fed us. Can't leave.,0,0.0382
"Flight canceled yesterday. hour delay now due to ""mixups"" - @AmericanAir. you're really making it hard to be loyal to you",0,0.0352
@AmericanAir please do not allow people to spray Lysol/cleaning solutions. #allergicreaction #benadryl. No other seats. #coughing #unhappy,0,0.0346
@united Your rudeness training is really paying off. The people who work for you couldn't care less about their customers. so kudos.,0,0.0292
@AmericanAir She's stuck at DFW.  First time she's ever lived outside MO.  And you told her not to complain.  Boo boo boo,0,0.0284
Truly the most ridiculous experience I've ever had flying. #AmericanAirlines @AmericanAir,0,0.0276
.@AmericanAir please stop delaying our flight.,0,0.0258
@AmericanAir when you update CLT. please update the baggage system. 45 minutes and no bags.,0,0.0258
@SouthwestAir Flight got canceled a few hrs b4 departure. now ridiculously long wait on hold. I'd like to reschedule ASAP,0,0.0258
@AmericanAir this definitely the worse flight experience ever. Stuck at DFW for like 10hrs after multple delays. #IwantAFreeRTflight,0,0.0258
My flight left 15 minutes late. but arrived 10 minutes early. Go @SouthwestAir !,1,0
I'm never ever flying @AmericanAir again,0,0
What's up @JETBLUE??? Why are you making us wait in line with less than 3 attendants?,0,0
"Boarding @AmericanAir #916 BOG-MIA. Me: ""where is Business Class access?"" AA: ""go to the end of the line"" #fail",0,0
Another day. another @AmericanAir flight delayed.... At least another 3 hours until my Dad gets here. if he even makes it tonight.,0,0
@united Ppl on UA 1571 from Denver have been waiting 45 minutes for our bags! WTF?!?!?,0,0
man even after their rebranding efforts @SouthwestAir customer service still sucks....,0,0
@united So. I went to book a flight and you ran out of seats and now charging me an upgrade? #ripoff,0,0
Not only do I have to go back to the cold but all this de-icing is making my @AmericanAir flight late. #ihatewinter #travelwoes,0,0
@united really left people stranded in Tucson #nocustomerservice they could have made suggestions for ppl 2 get home. #Neverflying #united,0,0
Hey @AmericanAir whats up with the crew member being late at MSY for the 6:35 flight to DFW? We are still waiting at the gate. Ppl have wrk,0,0
@SouthwestAir been waiting in line at the check-in counter for 25 min and not one two in site this entire time.,0,0
Sitting on the Tarmac for 45 minutes without update after landing on time is unnacceptable @AmericanAir flight2645,0,0
Never will I ever fly American Airlines again!! @AmericanAir,0,0
I'll Never fly again with @AmericanAir,0,0
@AmericanAir flight AA5422 waiting 2 hours for Maint to show up. #Fail #AmericanAirlines,0,0
Slow @SouthwestAir,0,0
"@united continuing to tell passengers ""we'll be taking off shortly""...for an hour and 32 minutes... #smh #annoyed",0,0
Now I remember why one should never fly with @AmericanAir,0,0
@united $7 is all you guys can offer for all these issues #United895 I'll try and not spend all at 1 place #NeverUnitedAgain #NeverORDAgain,0,0
@united on hold for three hours trying to book a flight?!??,0,0
Why when I follow @AmericanAir online instructions to call reservations to book lap child can I never get someone that knows what to do!,0,0
@DeltaAssist I never received my 2500 skymiles for my bag taking longer than 20 minutes to come #pissed#cantbelieveIhadtowaitthatlong,0,0
@SouthwestAir agents haven't been provided with a travel advisory yet? #unacceptable,0,0
.@united staff won't let people go to open 5-minute line at EWR C-2 checkpoint and instead redirecting to 40-minute TSA line at C-3. #fail,0,0
And now @united doesn't cover the application fee for global entry! #frustrated #1kmeansnothing #smallthingforunitedbigforcustomers,0,0
Hey @SouthwestAir Do you keep all your customers waiting this long to talk to a rep? http://t.co/PcRzzW2IxJ,0,0
"@AmericanAir I was just told this by one of your agents: ""I can't put a priority tag on your bag if you're not a priority"" #rude",0,0
".@AmericanAir ""..your call will be answered in approximately FIFTY minutes."" #WorstCustomerService EVER.",0,0
@united if I could find the agent. I would not have tweeted you. I waited 35 minutes to get my luggage,0,0
@AmericanAir 1 hr late due to plane issue on the new 787...really....#nonweatherdelay,0,0
And 50 minutes later the entire @AmericanAir flight is still waiting for their bags at #LGA.....,0,0
I will never be flying @AmericanAir again. This is a nightmare,0,0
@united i will never be flying with #UnitedAirlines ever again. $285 for checked bags? All under 50lbs? #angrycustomer #unitedairlinessuck,0,0
The windowless window seat of 10A. #epicfail &amp; #annoyed with @AmericanAir after canceled flight yesterday. http://t.co/szVTx9m4sJ,0,0
Hey @United ur inflight wifi is slower than dial-up. Short flight from Denver to Vegas. and all I get is the spinning circle?? #fail,0,0
@united can you explain to me why you never provide accurate flight info?,0,0
I was on hold with @united #UnitedAirlines and after waiting 90 minutes I gave up !  #CostumerService__ http://t.co/Etc35PTTEG,0,0
really @united?!?!?! I've been on hold for over a hour! See for urself.....#SMH http://t.co/ArsZ4ms2VD,0,0
@AmericanAir I never heard from anyone at Flight services,0,0
@united just spent 33 minutes on hold trying to give you money and you disconnected me.  #fail,0,0
.@AmericanAir come on sort it out. Been sat on the plane in Vegas for nearly an hour waiting on departure time LASJFK AA120 #delayed,0,0
@united DTV doesnt work. pilots late. wont let 10yr old fly next 2 me and I paid 4 an upgrade. #unitedsucks,0,0
@united how can you never got a flight from austin to Houston in time for a connection ever? Ever!,0,0
@AmericanAir the iPhone app is not working for me. Are you aware of any issues?,1,0
"After waiting on @AmericanAir Customer ""Service"" for over a month so far. I got a postcard. saying that they are working on it.",0,0
First half of bags from flight came out 35 min ago.. Second half we're all still waiting. 45 min and counting. Come on @SouthwestAir,0,0
#Annoyed @united -R u really having premier passengers shove bags in the carryon measurer? Most of us travel for a living! #deservebetter,0,0
@DeltaAssist I've been on hold for over 20 minutes now. Can someone answer or at least change the songs? They've started to repeat,0,0
@united after waiting for over an hour we finally board the airplane only to find out we have to call maintenance. And this plane is cold.,0,0
My wife has probably left here ipod on the plane @united from AMS to ORD how can she inquire if it has been found? #lost #flight #united,1,0
1 night in past 2 weeks spending time with kids Instead. sitting on a Tarmac in Houston.  Delays. babies. bathroom smell @united never again,0,0
@united what type of Maintenance issue is it for flight 1438? IAH-ORD?,1,0
I swear I have PTSD from dealing with @united months ago. Flat out terrible airline. I will never touch again. Worst customer service around,0,-0.0015
Really wish @united had been more accommodating when they cancelled our flight. Stuck in New Orleans another night,0,-0.0018
@united we are on flt 1090 delayed for an hour b/c of nab charts not being updated. Missing connection. #fail,0,-0.0031
@AmericanAir are you kidding me? This is the worst service I have ever experienced. Rebooked but didn't issue ticket. Missed flight.,0,-0.0046
Never fails.  stuck on the Tarmac for over 4 hours with only a single glass of water and a broken plane. @united late once again.,0,-0.0072
My @united flight out of Denver is late and the airline won't honor my #mileageplus membership passes because they only accept paper #21stC,0,-0.0072
@AmericanAir #alwaysdelayed #neverarriving late once more on PAP-MIA flight AA979...it's clear that AA does not care about #Haiti,0,-0.0072
@VirginAmerica I have no problem with the poor food situation. Airplane food isn't all that. but charging $40 for a 6 hour flight is a joke.,0,-0.1779
Seriously @AmericanAir? I had to wait through two 30 minute sessions and you hung up me TWICE without answering my question #customerservice,0,-0.1779
@DeltaAssist please respond to my messages as this is unacceptable,0,-0.1779
@SouthwestAir  You left me behind in Vegas. lost the carry on you told me to leave on the plane. and now no one seems to want to help me...,0,-0.1779
3.5 hour delay out of AUS and and now an hour delay out of SFO. Both with less than an hours notice. We expect better communication @united,0,-0.1779
"@AmericanAir I get that (although my ""lowly""gold flyer friend retained her exit seat)-my problem is lack of communication and attitude",0,-0.1779
@SouthwestAir you should AT LEAST get your wifi to the point where I can easily book my next flight while in route. It's consistently poor.,0,-0.1779
@united tks to treat me and my family with totally disrispect leaving  Us with no clothes. no baggage. in the -18o grades,0,-0.1779
@JetBlue Too bad the inflight entertainment crapped out after an hour. Went from ulta-mint to just so-so mint.,0,-0.1779
@united just terrible CS experience at SJD flight 1477. Cancelled. then no useful help at all,0,-0.1779
@united epic fail by united. First we sit on the Tarmac for 35min after we landed. now another 30min and counting waiting 4 gate checked bag,0,-0.1779
Weird morning at SEA requiring 3 visits to @AlaskaAir counter.  Staff needs more coffee.  #Fail,0,-0.1779
@SouthwestAir No need. Help was needed yesterday - I've handled it. Still missed BFFs wedding. Nothing you can do can get me that memory. ,0,-0.1779
8am flight out of MSY. ER landing. cabin filled smoke.burning wire smell. 9hrs still at MSY &amp; $125 compensation. come on seriously @united,0,-0.1779
@AmericanAir still no resolution...will have to go to legal. #poorcustomerservice   #lostfaith,0,-0.1779
@SouthwestAir I am and will probably get screwed over again and treated like a second class citizen. You know.....the usual for Southwest.,0,-0.1779
@SouthwestAir I just want to get home.. We're stuck on a runway.,0,-0.1779
@JetBlue at FLL waiting on a flight to Jamaica. Flight delayed by 2hrs 30mins. I need some explanation or an apology. What is happening?,0,-0.1779
Seriously. How long do we have to wait to get de-iced? @AmericanAir #hourandcounting #fail,0,-0.1779
@united Yes. they filed 2 claims at the RKE airport. Have called both airlines repeatedly with no results. Tomorrow = day 4 no bags.,0,-0.1779
@united your new mileage accrual rules are awful. Actively considering switching airline allegiances.,0,-0.1779
@AmericanAir  now on hold. hung up on third time.  Seriously?,0,-0.1779
@AmericanAir Seriously? This is ridiculous... http://t.co/0Mnb1sFZwn,0,-0.1779
@AmericanAir just got on flight AA80 DFW LHR . Genuinely shocked at cramped conditions and no in seat entertainment. #1970,0,-0.1779
@AmericanAir flight cancelled with no resolution from AA. Sat on hold over 2 hrs. Promised a call back in 30 minutes. That was 2 hrs ago.,0,-0.1779
@united the people you have making sure bags are carry on size at Gates A20-28 in EWK are rude and condescending.,0,-0.1779
@AmericanAir Flight from SFO to ORD is delayed and we miss our international connection. No one here seems to want to help.,0,-0.1779
@DeltaAssist my confirmation code is HTI9K7 my experience from San Fran was horrible. was pushed to United and paid for luggage fee,0,-0.1779
@united I lost more than 1500 dollars plus the aggravation of missing my connection. Never got anything from United as compensation,0,-0.1779
@DeltaAssist due to a friend having problem with diabetes we can no longer fly ?,0,-0.1779
