,index,text
426,461,@united I'll still take the flier miles. I have be back in CHI in month. I would hate to fly a diff airline - but I will!
429,464,old guy sitting next to me looks awfully confused at me lip syncing along to the @VirginAmerica safety video.
431,467,@AlaskaAir  sad their is no power outlets on the way home 
435,472,One day I'm going to board a @united flight correctly and not anger a fellow passenger. Or just never fly this airline again.
440,477,I hate @AmericanAir!
448,485,I knew there was a reason I only fly @SouthwestAir. Never have a problem with them.
457,494,@AlaskaAir still waiting for you guys to find my hats #1monthlater
463,500,@united leaving on Weds for UK for IM Wales. please can you not misplace my bike for 4 days. like last time &amp; then damage it! #ironmanwales
464,501,Didn't have time to get a drink or snacks before my  @VirginAmerica flight now it's delayed on the runway. The hunger and thirst is real.
468,505,I've never loved an airline as much as @JetBlue  Such wonderful people and service!
470,507,@JetBlue why are your flights always delayed or have mechanical issues?
473,510,Officially missed my flight home from #PAXPrime2014 :( Time to see what I can work out with @AlaskaAir customer support.
477,514,Hey @JetBlue let's pick up the speed on bag pick up. Takes all the fun Out of being early when waiting 30 min.
485,522,The @SouthwestAir lady checking my bag was horrid. but this visit is redeemed by the amazeballs fresh-squeezed OJ. Too bad it was about $7
488,525,"Huh. Booking @VirginAmerica flight and on purchase it told me both ""All done here!"" with a confirmation # and that there was a problem. Huh."
496,533,@SouthwestAir is TERRIBLE. After traveling to Arizona to pick up my BRAND NEW bike. they lost it and we just had to drive to pick it up.
500,537,So @united scratched the heck out of my new luggage. http://t.co/ysXwnyHj95
505,542,@AmericanAir seriously poor service. http://t.co/c6rN78uuA1
520,557,Tough delay tonight.   @AlaskaAir 731.   Ouch!
524,561,Over 3 hours delayed but we're finally boarding!! Thanks @JetBlue #CLTtoJFK || On that note. who's got the hook up with a private jet?!
527,564,Shoutout to Crystal at @JetBlue for helping us with our upcoming flights. Super friendly. understood our issue and fixed promptly. Thanks!!
533,570,Never been serenaded in the air before. Best. Flight. Ever. #flight360 @VirginAmerica
541,579,@VirginAmerica Love Love VA. Was one of your first fliers and have never left.  you only get better aahh great ride
542,581,What's happening @AlaskaAir ? On my current trip my last 2 flights were delayed by mechanical issues 8/29 flight 606 and 9/1 flight 601
543,582,@AlaskaAir why do you allow your pilots to outright lie...  He just announced he didn't know the delay length. yet apparently you do
562,601,Who the Traveling Owl is not happy with his seat. but I am! @VirginAmerica #Boston here we come! http://t.co/9O8JW0VuuB
563,602,@AlaskaAir fuvk you guys you guys suck
571,611,@SouthwestAir another trip to OAK another severely delayed flight there but only 15 min late coming back is that the new norm for SWA?
587,628,Love my @JetBlue! At JFK terminal waiting to board. Wish I had more points to fly more often! lol
590,631,@united Top-5 Overrated Things to Do In #Barcelona ... Don't hate us! http://t.co/QLBbbhnSKu http://t.co/4Wc1ojQHDI
592,634,@VirginAmerica Top-5 Overrated Things to Do In #Barcelona ... Don't hate us! http://t.co/QLBbbhnSKu http://t.co/avaArGC1H2
597,640,I cannot wait to see #TWA #RenoAir and #AirCal on @AmericanAir 737's. Praise Doug Parker for his inner #AvNerd
603,646,"As always. when I'm forced to fly on another airline. all I can think is ""I miss you. @VirginAmerica."""
608,651,I'm done being loyal to @united 1st they pull the hub from Cleveland. &amp; now they cancel flights last minute based on mechanical/tickets sold
610,653,Too early! I hate when @united makes me wait until the next morning to fly out when they delay flights the night b4! http://t.co/ELmhljYlgq
615,658,A new month means a new issue of @SouthwestAir Spirit Magazine to read on the plane.
618,661,Two delayed flights coming here. seats taken on my way back. Oh. @united...
632,675,.@VirginAmerica's safety video is literally the best thing ever. Never gets old.
636,679,New @jetblue A321 interior with bigger tv and new seats. Cant wait to fly on this. #jetbluesofly #jetbluebos #avgeek http://t.co/zmy78KKsns
638,681,@JetBlue Not good enough. I started yesterday by saying how much I liked you. I finished it wondering if I'll stay a customer. You blew it.
640,683,@AlaskaAir 3 emails sent about the horrendous service on my dream trip to South America. NO responses. This isn't customer care!!
642,685,#TSAPRECHK not  true this am @AmericanAir When other lines have less folks there's a problem.  #fivthis http://t.co/iOeanuuVqs
646,690,Just found a flight to NYC for $168 on @united!!! Hoorayyyyyy!!! Saves me 18 hours of driving! Can't wait to see the #Yankees one more time!
647,691,@united we are on standby if the 2 flights don't have room then we stay in Seattle an extra day and I miss my first day of school!
659,703,Nice to see TF Green doing scheduled Europe Flights. Impatiently waiting for my @AlaskaAir flights to the West Coast...
661,705,Totally unacceptable that this @JetBlue flight to Orlando doesn't have any copies of Sky Mall.
662,707,Can't be mad at a @JetBlue flight with an attractive crew. Mornin'. boys!
673,719,My last flight was on @JetBlue  I must say I don't think they will have these problems plenty of leg room in coach. #impressed n
674,720,Mechanical issues? Yup. i must be flying @united
675,721,@VirginAmerica thanks for keeping the door open 2 minutes longer. made it at 847a for 855a departure #crazy #LAX
691,737,Oh @VirginAmerica I love u but this seat from sfo to jfk is the worst :-(
692,738,More hidden surcharges by the worst run airline in the skies. @united http://t.co/wKSjs7RdzJ
698,744,@SouthwestAir i just flew airtran and i am very upset about the overall flight . I have a few complaints lol next time its delta for me
708,755,"On @united. Why do airlines announce. ""we have a mechanical problem sorry for the delay."" Nobody wants to hear that before take off."
718,765,@AmericanAir terminals really make me miss #Europe
721,768,Got a complaint? @SouthwestAir is listening via their new #socialmedia hub http://t.co/3AKA5Rp5y0
726,773,@united link broken?
729,776,This is a would-be #humblebrag but then I missed my boarding call. Balling out anyway @southwestair #A01 http://t.co/pk5YzEG10k
750,798,Okay. @AlaskaAir your cheapest r/t ANC-SEA late Sept is $533 and competitors are almost half that.  Not good.  #MVP but really ?
752,800,@united we wait. Until when?
754,802,@AlaskaAir Can't wait for PFD fares!! &lt;3 #winteriscoming
757,805,.@SouthwestAir everyone hates your boarding system.
761,809,Really need a personal masseuse in my office today. That @united flight from Mexico City destroyed my neck and upper back
768,816,@VirginAmerica sweet!! Don't know I missed that 
771,819,Every minute I wait (patiently) for my @AmericanAir plane to board is a whole minute I don't get to make out in Iowa
804,855,@SouthwestAir I'm headed to NYFW and my flt is delayed in Memphis am I going to miss my connecting flt in Chicago? Confirmation # FB4A5P
809,860,Love ending a great vacation stuck on the runway for an hour and a half. Thanks a lot @JetBlue.
812,863,Why the delay @JetBlue from Ft. Lauderdale to NYC? Love your service but second delay on my trip.
814,865,@SouthwestAir. you disappointed me majorly today. 
823,874,@AmericanAir lost not only my 2 checked bags but also lost the carry on that they MADE ME CHECK. Better be here tomorrow. So mad!!
826,877,@JetBlue love the service. hate the puns.... Never change please?
828,879,@JetBlue really upset with your inflexibility w/ the $150 change fee due to a simple human error in booking a flight at the wrong time
837,889,Breaking news. everyone. Another flight on @united today. this time to NYC. Supposed to leave at 12:50. and still on the taxiway now. Woo!
848,900,"My @united flight delayed due to ""air traffic control."" Can someone tell me what that means. exactly? #unitedproblems"
855,907,Let's talk about how fucking excited I am for Friday. I GET TO RIDE @VirginAmerica even!! Best airline EVER. #49ers #49ersFaithfulAirline
860,912,All set to board and fly back home to LA on @VirginAmerica  the only way I go.  Try it you'll switch too.
861,913,@AmericanAir If my flight gets delayed any longer. I'll miss the last bus back home. #Worriedchicken 0.0 possibly a #Strandedchicken
873,925,@VirginAmerica wish I had info as to why my IAD-SFO flight is delayed... need to get there tonight :(
878,930,@AmericanAir I missed my flight
880,932,@VirginAmerica Stuck at EWR on runway waiting to go to LAX. What a waste of time. 14th in line
884,936,Oh @VirginAmerica how I've missed you. It's so nice to be back. #SFO-#ATX!
886,938,#JetBlueWillCall @JetBlue Hii you should pick me bc ive never seen the 1975 live and id really really like to!!
890,942,It's as if this @SouthwestAir flight is trying to be late as possible. Yah. bro. I don't want to make my connection. Let's keep chilling. _
894,946,@united please tell me we are cleared to leave and head to dca from houston!
909,963,Travel peeve: crappy audio jacks on @JetBlue flights.  If I hold it just right I can get sound and a hand cramp.
910,964,@united You're killing me Smalls! http://t.co/H7Yn6GiJ0z
911,965,.@AmericanAir Where they make your trip as miserable as possible &amp; insure you don't arrive the day you paid for
919,973,@VirginAmerica aint mad at your new safety video!!! &lt;3 g6
920,974,@united really was that pathetic tweet all you had to say for yourselves?
929,984,@SouthwestAir views like this make small delays less annoying. http://t.co/AIi15MLaFB
930,985,@JetBlue not happy about your new policy with the $75 change fee over the phone. How about you enable a change online for free?
932,987,@united I'm going to miss my 11pm flight to BOS from PHX. when's the next avail flight to BOS??
938,993,"@SouthwestAir is there an issue with the ""low fare finder"" on http://t.co/FVDjn8DeUN. it doesn't switch months after the initial search."
959,1014,@JetBlue why was 1106 ORD to JFK cancelled tonight?
963,1018,"Grooving to ""No Air"" on hold for @JetBlue -- are all hold songs air/sky/fly themed?"
966,1022,BAD MOVE @JetBlue!! Really really bad. UGH so screwed now #dontflyjetblue
973,1029,Yeah. too bad @southwestair has stopped service to Jackson. MS. http://t.co/iaerB5PlUB
990,1046,@AmericanAir it seems habitual. Especially when more than 50% on delayed flights say that it happens particularly with your business.
992,1048,Officially a #rapidrewards member! @SouthwestAir .. Can't wait to fly my first time with you!
996,1052,Another @AlaskaAir win. Sent in negative (not too bad) comments yesterday &amp; got call about it today from friendly lead agents wanting info.
1000,1056,@AmericanAir always disappointing to find old brown F seats on a 757 but even worse to see the edge looking like this http://t.co/61n8U5t1Gf
1002,1059,"@united Actually. it was cancelled because the crew ""timed out"". But we have waited since 7:25pm anyway. http://t.co/6NSvQsJ2O4"
1003,1060,@SouthwestAir why board the plane from BWI to PIT when you're going to make us wait 30+ minutes before you close the door?
1018,1075,@AmericanAir You will hear from later! You so upset me!
1025,1085,Its incredibly annoying that @SouthwestAir doesn't have a direct flight from Buffalo to Atlanta
1030,1090,@AmericanAir please can you tell me the status of flight no 55 leaving Manchester at 10.40 to go to Chicago? Missed call from you overnight
1033,1094,NY-LAX  and ended up stuck in Chicago @AmericanAir #unnecessarylongday #admiralsloungeclosed http://t.co/GLpLf3gZNX
1036,1097,"@AmericanAir It is a ""STEAL"" issue. You and ""They"" should take it carefully. Steal was happened in your company! I don't have patient."
1038,1099,If only @SouthwestAir could have cheaper air fare from LAX - JAX round trip sigh #brokecollegestudentproblems
1041,1102,@VirginAmerica 3 calls. 3 different answers. #unacceptable  Can I travel by my self  with my 2 emotional suport Animals  (small dogs)  ?
1048,1111,Got a complaint? @southwestair's #socialmedia hub's listening http://t.co/GyiHmB3DMP - here's how it could add value: http://t.co/JpwFSOjEmf
1053,1116,@AmericanAir I've come to expect decent airplanes 2million miles.but this USAir you stuck me on is awful.
1056,1119,Super annoying that my 825 flight didn't leave til 1am CT but props to @JetBlue for making it a little more bearable #unlimitedpopchips
1064,1127,@united I will be contacting corporate in writing explaining my disappointment
1069,1132,Congrats @VirginAmerica on becoming just as awful as American Air. It took five years but you fell that low.
1076,1140,@united no worries. It was an Apple issue last none_none of the apps were available for some users.
1077,1141,We took an international flight with our 4 month old....and it wasn't that bad! Blog post to follow. CC: @AmericanAir http://t.co/o201Bp0Pjl
1081,1146,Very disappointed in @SouthwestAir - playing games just like all the other airlines. Won't be flying them again. Very sad. #don'treallycare
1086,1151,So @AmericanAir 150$ for a surf board!? One surf board!? #notcool
1090,1155,And all the people in nearby seats on my @southwestair flight breathed a collective sigh of relief. #sleepingbaby http://t.co/Sre4yhPqC8
1093,1158,"Never flying@SouthwestAir again. there is no leg room! Did they add more seats? I'm only 5'10"" and I couldn't move!"
1094,1159,Still angry. weeks later. that @united moved me from my aisle seat to a middle seat without asking me. There has to be some rule...
1095,1160,@united It won't let me wait for the gate. it wants the $200 now.
1105,1171,Early bird waiting for my flight with @virginamerica :) thanks for the working desk! #startup http://t.co/ETHKehL447
1116,1182,@SouthwestAir should mess with my boyfriend on his first flight in January 
1119,1186,Peaceful first flight but delay in #Houston for the second flight to #sandiego @SouthwestAir #travel #latetowork http://t.co/hHomYEJqKV
1134,1203,Not only guilted into giving up aisle for a middle seat. my @VirginAmerica flt. spnsrd by screaming babies. So much for main cabin select.
1136,1205,Really @united you're charging us a change fee &amp; point to leave Cabo early when it's under a tropical storm warning??!! #notnice
1140,1210,@VirginAmerica. left some items in my seat back yesterday. and can't seem to get a response from Virgin America lost and found at O'Hare.
1145,1215,@SouthwestAir I booked flight yesterday to Austin. Why do you never have promotional codes for that or Birthday discounts just asking?
1146,1216,Delayed @AlaskaAir from GEG? This never happens. And of course it does on a day that actually matters _
1147,1217,@AlaskaAir what happened to Flt 28 today. Plane an N3 and no one to move it to N7? An hour late. NOT COOL.
1153,1223,@VirginAmerica awful! Love Field is a hell hole. Stay at DFW. we need more rival airlines at the hub to stand down against the man.
1163,1235,Bloomberg: Osurv study - Airlines Need You (and Your Gadgets) to Kill Those Seat-Back Screens http://t.co/ZUs5TEiUYs #travel @SouthwestAir
1168,1240,@americanair I never tweet. but this is how mad I am at your airline. I don't understand why you cannot give me a refund.
1170,1242,_@united It appear your Web support team's response to my findings was to increase your prices. Very uncool. shame on you!!!!_  No comment?
1174,1247,"Got a taste of the ""new"" meal service on @AmericanAir First. Gotta say I miss the sundaes. (And your FA did too btw) #travel #aviation"
1177,1250,@AmericanAir hi there. any news on the iPad that was lost Dfw to phx yesterday? Flight 1285
1183,1256,@VirginAmerica miss the nun. although she upgraded well in the new #safetydance vid
1184,1257,No longer a virgin to @virginamerica. So pretty. I don't think I will be able to fly anything else again. http://t.co/us9OaqABj8
1185,1258,I have been waiting w/others over 15 mins at the @VirginAmerica counter at Dulles to check in ..Noone is here #notok http://t.co/YiZvYnUF6e
1186,1259,And now I have the newer @VirginAmerica safety video song stuck in my head. #FlyAwayWithMe
1191,1265,Day Made: @AlaskaAir flies direct from LAX to DCA. heaven!! I can't wait to try and get my tickets!
1194,1268,no longer have a fear of planes  thanks @JetBlue for 3 great flights  http://t.co/HHpMgV0DRq
1199,1273,@VirginAmerica Would it have killed you to have a dancer dressed as a matador in #VXSafetyDance?
1201,1275,@SouthwestAir For taunting those of us stuck on the 737-300 model planes?
1202,1276,@united Smisek LIED no channel 9 on new aircraft. Bad PR.
1206,1280,@united Trip 2 Aspen.  frNd had emengcy can't go. Need 2 chAng d nAm of pRT Flight sold out &amp; can't git sAm seats az d ones trying 2 cancel.
1209,1284,Mom fought with @united to switch the ticket so I can go to #NOLA w/ her to see my sister. But no go... #notcool #nonamechange #boo
1215,1293,@JetBlue if you flew from SFO / SJC to DFW I would but now I have an excuse not to see my sister :) #jetbluedoesntflythere
1224,1302,@AmericanAir What is the problem with your website. I'm unable to view my reservation from Dublin to Philly??? http://t.co/8rFCp80qiR
1227,1305,@United I take back my earlier praise. Your EWR ground crew is completely worthless. Where are my bags???
1240,1319,@united we replied back to the email and rejected the $50 credit still waiting for you to step up!
1273,1353,@VirginAmerica I did that b4 but VX doesn't fly enough places I go every week from LA yet so I didn't re-qualify within the 90 days #stuck
1285,1365,After reading some of @AmericanAir tweets sounds like they do a lot of apologizing for their crappy services.
1291,1371,@AmericanAir just landed. Agh. music is back. Truly. what demo likes canned piano? This music is depressing. Sad now. Depressing vaca start
1292,1372,I love @JetBlue but the fact that I've had to argue with them over why they should compensate me for FOUR canceled flights is just... ugh.
1295,1376,Big thanks to John at @AlaskaAir for providing true excellence in customer service after our flight was delayed yesterday!
1296,1377,@AmericanAir grew up next door to her. Never forget http://t.co/uSpuIfcjiL
1300,1381,"@JetBlue HELLO YESTERDAY I WAS IN NEW YORK AIRPORT AND I LOST MY LITTLE DOG ""FENASY"" HOW CAN I FIND HIM? :(((("
1303,1384,"@JetBlue HELLO YESTERDAY I WAS IN NEW YORK AIRPORT AND I LOST MY LITTLE DOG ""EM_RCAN"" HOW CAN I FIND HIM? :(((("
1306,1388,@AmericanAir 1 more PAX 2 the pile on US killing AA. Horrible meal LAXDFW. Tacky setup. Cheap wine. Sml portions http://t.co/zjzAAYPqeo
1315,1397,@united hi - can I use miles to check a bag? I have to due to it's a full flight and I have a back issue that requires it.
1317,1399,Photo: everyone hates me. two more hours #sick #diaster #california @jetblue http://t.co/G5qdzVaVQ6
1318,1400,@VirginAmerica I always thought the girl with the big eyes in the cartoon was hot. I know. I got problems.
1321,1406,Flew @JetBlue for the first time on this trip and loved the extra leg room. What I hate?  Booking tickets in a ro
1327,1412,What's up @JETBLUE??? Why are you making us wait in line with less than 3 attendants?
1332,1417,@united EPIC fail today Houston ground crew unable to figure out how to open new Dreamliner door. most people missed connects
1333,1418,@AmericanAir Broken On board entertainment on Sep 2 flight AA 68 from MIA to MAD. unacceptable for money spent! http://t.co/j9wBL0WkAl
1334,1419,@AlaskaAir has a new way of boarding  -- no bags for the overhead bin? Get on first.  Kudos. kudos. kudos..
1337,1422,Ugh. Need some lifehack to upgrade on @united international only using miles instead of miles+dollars. $600 for 1 leg of a 4 leg $1200 fare?
1351,1438,@JetBlue um...did Jennifer Grey almost kill her career with a nose job?!? The answer to everything is YES!
1360,1448,Experiencing @VirginAmerica's in-flight safety music video. Missed it when it went viral. In other news...I'm old.
1363,1451,@united  You can't leave people frigging stranded  and  just say oh here have some money back  get  em on another flight or close your doors
1375,1464,Hey @JetBlue. why are there no flights to Reno? #renoprobs http://t.co/lYouq0aqQE
1394,1484,Can't wait to fly on @AmericanAir again. http://t.co/aBUHssPfWG
1396,1486,@united I just filled out the requested form.  Sorry for the delay; social media is not easily accessible in China! #customerservice #hope
1402,1492,On flight to Orlando. My family has no tv and all our tray tables are filthy. Garbage in front pocket. Not cool @JetBlue
1414,1504,@JetBlue Traveling w/ my emotional support dog the crew did not make it easy for me disappointed because never been treated like that
1419,1510,@united Although you__ll never to get to ride in it unless you__re going international. Just 737 and AB320__s for us US folks.. forever.
1427,1519,"@JetBlue HELLO YESTERDAY I WAS IN NEW YORK AIRPORT AND I LOST MY LITTLE DOG ""BURAK"" HOW CAN I FIND HIM? :(((("
1430,1523,Yo @AmericanAir you got me fucked up I'm trying to go blackout at the number 1 party school in the county and my flight is delayed 
1433,1526,@JetBlue we really had a good flight yesterday!  We didn't starve with the endless snacks &amp; DDcoffee...no are we there yets from my son...
1434,1527,@AmericanAir why did you change all the MIA/ATL aircrafts to regional jets for that route during the daytime?  I miss getting upgraded.
1438,1531,Oh. @AmericanAir you are breaking my heart.  Delayed to Chicago. #ICNLS  #howaboutnow #isitherenow #whataboutnow
1450,1545,@united I have to say its annoying when you separate res of family traveling together at check in. As a 1k member. I hate this.
1451,1546,@AmericanAir Just noticed boarding passes for tomorrow don't have mine or wife's middle initial (which is on driver's licenses). Any issue?
1454,1549,No PB&amp;J on my @VirginAmerica flight and now I am sad _
1455,1550,It's like a lounge in here! No longer a virgin to @VirginAmerica.  #firsttime #stayhungrystayfoolish http://t.co/UFGQ3JYo6z
1462,1559,@AlaskaAir thanks to your poor planning of 626 I've lost almost an entire day of my trip. AND now I'm eating mcgriddles. You did this to me.
1475,1573,@united Can't wait to fly in one. What routes will it be flying?
1480,1578,A brief telephone call with @united reminds my of why I should never fly with them. Always a bad customer experience. from start to finish.
1484,1583,@VirginAmerica thank you. i ended up switching to chrome from firefox and it worked...very odd!
1491,1590,Hey @JetBlue! This well-traveled panda can't wait to fly with you today! http://t.co/6LTbA7e8L9
1492,1591,@SouthwestAir what the hell we were reputed from Chicago to Indianapolis!!
1494,1593,Flight from San Diego to Chicago Midway re-routed to Indy. Missed my connection! Am I going to make it to Detroit today? @SouthwestAir
1496,1595,@AmericanAir I'd like to see an old TWA tail livery on one of these. Too Bad you didn't acquire PanAm!. MGMT may be AmWest but it is ugly.
1497,1596,@AlaskaAir now she has to wait 12 hours in SFO for another fly to miami and after that other fly miami-bogota. #badservice thank you a lot
1498,1597,@AlaskaAir Will you tell your email support to quit emailing me about an issue your phone support solved a week ago?
1504,1603,@VirginAmerica    all checked in for SFO frm DFW tomorrow. Can't wait for the #VirginAmerica experience &amp; 1st trip home in 6 yrs.
1505,1604,One thing you can rely on is @AmericanAir screwing up your upgrades.  3 for 3 on int'l travel...thanks. guys!
1507,1606,@AmericanAir oh no. Just a previous dissatisfied fare.
1537,1638,Thank you @virginamerica for making it look cool. Can't wait to make em' move in the #bayarea_ http://t.co/17SQDUWIB0
1541,1642,@united  hate asking for help but there's no way I'll make it through ORD &amp; DEN; even without a carry-on. My Conf # is  DDYL6F
1544,1646,@AmericanAir you guys are a trip. My wife. a platinum flier with you guys got sick with a bad case of virus and coughing Was told  no waiver
1548,1650,"@VirginAmerica Can I cancel a ""points"" purchase I made?"
1552,1655,@AmericanAir can't wait to see AirCal and TWA jets. Suggestion put AirCal on  a 737-800 as they flew mostly 737s
1556,1659,Love to fly with @JetBlue . And had never been in Boston before. Wishing to go someday. #ScoreEvenMore  #BostonCalling2014
1557,1660,@JetBlue  I'm in the air. and like FlyFi. but hate that the controls to my seatback screen are completely inoperable! No movie. no music.
1562,1668,I can't wait to fly @SouthwestAir again today. Snacks! #faveairline #kidatheart #itsthesmallthings
1567,1673,@AmericanAir (PS: I don't blame you. I understand the need to switch planes. I'm just nervous!)
1572,1678,@DeltaAssist Hi.  I have a booking question.  I am having some issues using both the flexible dates and multiple cities options.
1577,1683,That feeling when you arrive at your destination and your new luggage is damaged @JetBlue #familytravel
1582,1689,@united trapped like a rat on flight 106. pulled away from the gate and now we wait!!!!
1584,1691,@AlaskaAir Thanks. I've already sent it through the survey on the site. just wanted to let you know that the process is unpleasant.
1586,1693,hey @united. once I paid you for internet. I can no longer access the portal that allows me to watch movies/check flight status #bugreport
1592,1699,@DeltaAssist Problem with supervisor at online support. named Samuel. in Dallas (gave no other info).
1598,1705,@DeltaAssist trying to make flight 2604 7:45 JFK-DTW. Stuck in traffic. Will be at airport at 7. Tell them to wait? _
1599,1706,Anyway. @VirginAmerica I can't stay mad at you. 
1600,1709,Guess I'm going to renew my @AmericanAir moratorium. Always a bad experience. #5hourdelay #coulddrivehomefaster
1607,1717,Finally boarded my @AmericanAir flight!!! GRR ---&gt; ORD. First stop. Chicago. I'm finally heading back to LA!!! __
1608,1718,@SouthwestAir. as a comp pass holder please: kill Dish &amp; its horrible network hog on our planes or upgrade the network. iNet &gt; Golf Channel
1612,1722,@united should you or me tell my best friend I'm not going to make his bachelor party because your plane is two hours late and counting?
1617,1727,Stuck on the ramp in Detroit.  Hey @DeltaAssist are you holding our connections? DL 6391 to #roc
1622,1732,@AmericanAir still waiting for the day when I login and scream my lungs out seeing your name in my followers list _
1623,1733,En route to LA via @VirginAmerica. I have never seen such good looking passengers. #partybus
1624,1734,Shredded tire. stuck in Grand Rapids and the United pilots bought all of us left at the gate pizza. @united flt4674 pilots rock!!!
1633,1744,@JetBlue thank you for the credit for the delayed flight last night. I didn't complain at all. so this was unexpected. But much appreciated.
1638,1749,Flew on @VirginAmerica this weekend for the first time. Am utterly ruined for any other airline ever....they are amazing!
