text,,rate
I LOVE flying @JetBlue . Flying other airlines. I never knew how spoiled I was with legroom. #ThankYouJetblue #TrueBlue,1,0.7125
@JetBlue &lt; You are the BEST! Thank You for bringing the Men&amp;Women from all over USA to pay respect to their Brother Officers who were Killed,1,0.7118
Delayed in Houston heading to LGA. I hate the snow!! @united please please please don't cancel my flight I want to be home for turkey day :),1,0.7117
Okay. not DEN stuck. UA found us another plane for DENMTJ. promising! #UnitedRecovery?We'll see! C'mon. Make My Day. @United,1,0.7117
_ @VirginAmerica _ Resolve to read more in the new year with 30 days of Next Issue free and up to 1...: Resolv... http://t.co/g7OB5jQhj1,1,0.7096
_ @VirginAmerica _ Resolve to read more in the new year with 30 days of Next Issue free and up to 1...: Resolv... http://t.co/oG3HYDWW8y,1,0.7096
@AmericanAir ruining my best friends 18th- we just want to get to New York bt were stuck in manchester!_ _,1,0.7088
#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca,1,0.577
#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca,1,0.577
#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca,1,0.577
#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca,1,0.577
#UCCan benefit plans members: give us your email &amp; never miss updates on pay/pension/benefits! MinistryandEmployment@united-church.ca,1,0.577
@united any chance I can get help switching flights tomorrow?,1,0.5719
"@jetblue maybe it's just me. but when I try to contact you via the website and click ""Contact Us"" .select ""True Blue Program"" not working",1,0.5719
Kal Penn directs sex joke at female gate agent: _I feel like Valerie @AmericanAir has never used lube__ http://t.co/ViACwPTHVq,0,0.5719
Looks like I'll be flying over the #Oscars this year... @VirginAmerica I expect my bottle of champagne will be waiting for me at my seat?,1,0.5719
.@JetBlue you have always received amazing reviews due to one free bag &amp; more leg room do you want ppl to hate u now? http://t.co/EKQTD92KqF,1,0.5719
Kal Penn(D-ObamaBrownNose) sex joke at female gate agent: 'I feel like Valerie @AmericanAir has never used lube' http://t.co/uNcC6tS3iO,0,0.5719
for the 2nd consecutive trip on @JetBlue my bag arrived without its TSA lock. hoping nothing is missing since it was open when i got it.,0,0.5702
Despite the delay. I'm excited to head to florida on @JetBlue! #vacation #Passover #LetMyPeopleGo,1,0.5653
Delivery Attempted. Please Contact Your Airline. Seriously @united? I've been staying at my place for 3 days to make sure I don't miss it!,0,0.5627
@DeltaAssist. I am going to have a tight connection in ATL. Coming from XNA. going to TPA. Please don't let DL2304 leave without me!!!!,1,0.5597
Back at #sfo. Hope to get home today &amp; hope missing bags waiting for us in #yeg following @united baggage handling debacle yesterday.,1,0.5574
@United gate agent at EWR 110 this a.m. is my hero for switching me to an aisle from a middle as I was about to board 6hr flight #thankyou,1,0.5574
I cannot wait to see #TWA #RenoAir and #AirCal on @AmericanAir 737's. Praise Doug Parker for his inner #AvNerd,1,0.5574
@SouthwestAir In all my years of traveling I've never seen someone use every persons name as they board. Give that man kudos. go Richard!,1,0.5562
Can't believe I missed the @JetBlue deals today. Hopefully they'll have it again,1,0.5556
@AlaskaAir giving me a percentage off my airfare for my birthday. Can't wait to play in #Seattle &amp; enjoy so many of your travel amenities.,1,0.552
FYI everyone..... Calling @AmericanAir 800 number is a waste of time!  I know consider what they did to me breach of contact.  Dallas. TX,0,0.5511
@JetBlue actually. we just got home on Friday 1/2. but late to Tweeting. BOS to FLL on flight 69. Thank you!,1,0.5487
It is SO nice to be back on @AlaskaAir with my family after suffering through a few United flights. Customer service is a world of diff.,1,0.5463
@JetBlue it's great how all flights to JFK  are delayed due to construction!!! I don't know but did you just find out about this today???,0,0.5448
How I've missed having a reason to play with the 'fun stuff' section of the mobile app @JetBlue http://t.co/U8ezT6MpBz,1,0.5423
"@DeltaAssist Since I can't wait ""more than 2 hours"" to speak to a rep. Do you earn COS bonus for purchased upgrade at check in?",1,0.5423
@AmericanAir I just put a Biz Class saaver award on hold with you guys &amp; the class of service changed during the final step. Is that normal?,1,0.5423
@AlaskaAir Your people just took such good care of me. a sobbing mess going home to see my father for the last time. Thank you so much.,1,0.5423
@DeltaAssist can u help me to solve an issue with my reservation? it's not letting me check-in after Delta switched my flight the other day,1,0.5423
This @united plane to Austin is overbooked &amp; now has to make fuel stop in Memphis. so will be late  Wish me luck  #15NTC,1,0.5423
For a low-budget airline. @JetBlue has a great customer service. for delayed flights. I'm $25 up!,1,0.5411
For once in my life. I would like to fly without a delay. I'm looking at you. @AmericanAir,1,0.5365
@AmericanAir IFE for seat 9F on flight AA1353 today (Feb 1st) doesn't work!  I'm sad.  Long flight with no entertainment.,0,0.534
"Seat mate told @united FA that seat belt was broken. FA shrugged and said ""Yeah some are like that."" Can't imagine a worse thing to say!",0,0.534
Not a bad view seeing the sunset over New York's skyline!! cc: @SouthwestAir #Jetsetter http://t.co/0rn6UyMplQ,1,0.5321
@united hello homemade cookie lovers - what are my options to switch flights in order to get home earlier tomorrow?,1,0.5267
Heading to #AGF15 from PHL via @AlaskaAir. Can't wait to see old friends and make new ones! #AvGeek #PaxEx http://t.co/g8C7VOFMPl,1,0.5255
Flight delays always suck but @jetblue terminal 5 at JFK is about the best airport terminal you could be stuck at #scottytakestheredeyeII,1,0.5187
Hey @AlaskaAir not my fault you didn't make room for the bags - my tiny bag is legal - so maybe be nice?!!,0,0.5175
Trying to mentally prepare 4 worst case scenarios w/my flight from MCO to BDL tomorrow. Please take good care of me @JetBlue #nervous #alone,1,0.5106
#treasurelocalbeers  Free Chips and Dos XX at Newark Airport waiting for our @JetBlue flight home. http://t.co/Bv82jbc9YM,1,0.5106
Never going to fly @AmericanAir again :'),0,0.5106
@DeltaAssist Currently delayed out of ORD to DTW. would like check avail out of Midway (to DTW) earlier.  Can you help?,1,0.5106
@JetBlue will be heading to Sunny Florida in march can not wait. Had a good flight last year hope to have another one ,1,0.5096
@united flight 1485 please wait for us! 5 passengers delayed coming into Denver on flight 244. We promise to run! #gottagettoaustin,1,0.508
The destination is just the excuse http://t.co/ILJYRYV2oQ #travel #inspiration @JetBlue,1,0.0772
The destination is just the excuse http://t.co/ILJYRYV2oQ #travel #inspiration @JetBlue,1,0.0772
@SouthwestAir Please cancel my flight to Hartford tomorrow so I don't have to go back to boarding school.,1,0.0772
@AmericanAir just sent a private message what is number for traveler with disabilities? been on hold for over 15mins,1,0.0772
@DeltaAssist no. I'll have to address via phone when I land. Faa regulations issue. Semantics. Praying item checked does not break.,1,0.0772
@AmericanAir excuse me I have an issue,1,0.0772
@DeltaAssist My flight from Chicago is delayed by 40 mins to Atlanta. very tight connection to Dublin. will I be ok?,1,0.0772
@united why must you make it so expensive to fly one way?  We just want to come home to #Cle from #London in June.  #frustrated #homesick,0,0.0772
@VirginAmerica please let me know status flight VX 420 from LA  to NY  at 11:10pm if cancelled or not. I am flying out to SA tonight,1,0.0772
@united Please assist My brother is stuck on a plane in FLL trying to get NY before the wedding this evening. Snow in Chicago holding them.,1,0.0772
@AmericanAir I want to submit a letter longer than 1500 characters. how can I do this?,1,0.0772
@AmericanAir I sent that to cust. service. Took 3 emails due 2 char. limits. All I got was weather excuse &amp; info on TSA Pre-check.Seriously?,0,0.0772
@united I am GS and am almost always put on hold now for a loooong time when I call the GS number.  What gives?,0,0.0772
"Boy. @united. it seems like only a week ago you followed me and wanted to ""resolve"" my issue. Now no follow? Wonder why...",0,0.0772
I missed my show tonight at the comedy store here in LA because @AmericanAir just so happened to have a lightbulb out at the last minute.,0,0.0772
@AmericanAir I'm not getting very far with your 1-800 number. I keep getting transferred and then put on hold again.,0,0.0772
@americanair I can't find my reference number for my luggage issue. how can I found out the results?,1,0.0772
@AmericanAir this airline continues to make promises about lost baggage that they cannot keep #boycottamericanair,0,0.0772
"@JetBlue I just walk on by and say ""Excuse me"" if they're awake. If you gotta go. you gotta go.",1,0.0772
Oh look... my @SouthwestAir flight is delayed... again... im never gonna get back to MICHIGAN. Denver and I are gonna be friends all day ):,0,0.0772
@DeltaAssist why do you delay flights 30 mins at a time several times. Why not just tell us when to get here so we don't waste our time?,0,0.0761
old guy sitting next to me looks awfully confused at me lip syncing along to the @VirginAmerica safety video.,1,0.0534
.@DeltaAssist 140 characters wouldn't do our situation justice. Here's a teaser for my ensuing complaint. YOU LIE TO YOUR CUSTOMERS.,0,0.0516
@united with some really sub-par service. mechanical problems..? Lost baggage... Looks like we are sleeping at the White House tonight #joke,0,0.0516
@AlaskaAir hat tip to you all for reuniting me with a lost iPad.  That's a first from an airline in my experience.  Thank you.,1,0.0516
Crappy our flight is delayed .  - Safety comes first though. Thanks @AlaskaAir,1,0.0516
@DeltaAssist couldn't be more disappointed. After my flight was brought down via emergency landing one of your operators hung up on me.,0,0.0441
I love you. @JetBlue. but v not cool.,1,0.0405
@DeltaAssist problems with security question setup with iPhone app. Won't save question preference. PLEASE FIX,1,0.0271
@united it's a larger industry problem. not one specific to United.,1,0.0258
Thoughtful attendant @SouthwestAir flight from Vegas - Phx saw me eating a messy orange and brought me a wet towel. It's the little things_,1,0.0258
@DeltaAssist hi stuck on flt 1139 will miss connection in atl.  Conf code HZVSSN. Can u help?,1,0.0258
@AlaskaAir Thanks to this guy ill never fly with you guys. http://t.co/zSYh88aclg,0,0.0258
@AlaskaAir we are delayed out of Tulsa to Dallas.  any chance of making flight 667 home to Seattle? Traveling with 1 and 5 Year old,1,0.0258
@SouthwestAir I'm in Vegas and lost my drivers license. How do I pass airport security? I'm going back to dulles. va  tomorrow.,1,0.0258
@united Ya did it to me both ways.   Sigh. http://t.co/SFqUtbUJrU,1,0.0258
Always a problem flying with united #Cleanitup #NoFeel @united,0,0.0258
@SouthwestAir waste of money. Never doing that again. I get better speed on 90s AOL dialup than I did on your flight. Fix it,0,0.0258
Hey guess what @united we are delayed again. But I bet you're not shocked by this. This is getting old now. Late inbound plane. C'mon,0,0.016
@AmericanAir 2398 nothing you can do now. I've missed the game. Weather isn't the problem. Takes four hours to change a tire.,0,0.015
Autistic teen. family kicked off Portland-bound @united flight flying back from DisneyWorld - http://t.co/kTVCS7gBGF,1,0
@DeltaAssist #Miserable http://t.co/HZGAdAw0YW,1,0
@SouthwestAir could i get from MSP To GRR in August???,1,0
First time flying in a 787 from @united can't wait! ,1,0
Two days until I see my little sister! It's been 7 months and I can't wait! #Ft.LauderdaleToBogota! #travel #sisters #family via @JetBlue,1,0
@DeltaAssist looking to rebook flight from Seattle to Atlanta.  Plane has maintenance issues,1,0
Im waiting with my human for @AmericanAir to fly us back home.,1,0
@JetBlue The app and TrueBlue (on site) won't let me log in (not password issue). Is there an issue?,1,0
@VirginAmerica Since my flight leaves tomorrow at 8:15 pm. do I have to wait until then to print my boarding pass?,1,0
Still not my bagage back in #Boston from @AmericanAir #AmericanAirlines #AA while I need to film here tomorrow! #travellife #fail,0,0
Lesson 10: I put a birthday flight to #PHX on hold with @AmericanAir  #DreamTrip http://t.co/2XVujicLH5,1,0
"Family with an autistic daughter kicked off flight for being ""disruptive."" Another reason to never fly .@united http://t.co/MXWpkGdl2p",0,0
@united bumped my mom from her seat on Mother's Day... Never flying with them again,0,0
@DeltaAssist Just checked in 4flight tomorrow AM &amp;just found out road closures 4race start 5AM. Can I switch from 7 to 6AM flight?,1,0
@DeltaAssist can I switch my late flight to an earlier flight tomorrow?,1,0
@AmericanAir Still waiting....,1,0
Since when is it @SouthwestAir policy to wait for connecting passengers?,1,0
Mother's Day and birthday spent on hold with @AmericanAir.,1,0
@JetBlue I am not able to check in via your app - this has been an issue before. Any ideas??,1,0
@AmericanAir trying to call while visiting Europe for a week now.Incrediblylong wait. costing me 20 cents a min. #bettercs #weneedtotalk,0,0
@AmericanAir My first airplane ride EVER is happening in about a month. Flying with you guys over to London to study abroad. Cannot wait!,1,0
Still waiting on my refund from @AmericanAir .really. with all the problems I experience traveling. definitely going to delta,0,0
@united I'm platinum on Delta and am looking to make a switch - do you offer any reciprocity?,1,0
Can't wait to get home and sue @DeltaAssist,1,0
Looking at #planes never gets old fly_anselmi especially when flying the #LoneStar @SouthwestAir #Luv__ https://t.co/qluX0QOBBH,1,0
OMG @VirginAmerica First Class. My tail has never had so much room. Emirates Business eat your heart out http://t.co/wdidjSJ3d7,1,0
@JetBlue why is it that I have never heard of you guys before until just recently,1,0
Don't have any selection of movies on our plane SOS. never take  @AmericanAir to Europe #imalsocramped,0,0
@DeltaAssist 2nd flight of the day second mechanical issue. Sitting in ATL pilots providing zero updates. Gold medallion here done w/delta,0,0
Once again. I'm at an airport looking at planes--this time. waiting to start my trip to CES. (The new @SouthwestAir livery: a bit loud.),1,0
Why'd you randomly switch my assigned window seat to a middle seat @united ??,0,0
I thought I was down with @AmericanAir delays. Nope. Time for repairs while I wait in the plane.,0,0
@DeltaAssist this is a lie. Give a real time when plane is already 2 hrs late. http://t.co/SgGV5qhoPL,0,0
Hanging at #SchaflyBeer at #SLT C concourse waiting for @AmericanAir back to #LGA... Come find me and have a Hefeweizer...,1,0
Two trips in a row @United Airlines messes up the scheduling. Never again.,0,0
@SouthwestAir Just booked our flight from EDR to HOU in June and I can't wait! It's been too long! #earlybirdcheckin #likeabossonabudget,1,0
@united why issue mobile boarding pass for ICN when they are not recognized?,1,0
First time traveling on @AlaskaAir tonight. can't wait!  #AlaskaAirlines #spokanebound,1,0
I say this every time. and never seem to learn. @AmericanAir is the pits.,0,0
"I take it back @united - now we have a ""ramp crew"" issue.",0,0
@VirginAmerica I wanted to check a bag but I'm not going to wait 45 mins for someone to staff the check in counter!,0,0
Awaiting UA 1235 from MCO to LAX. (at @United Club in Orlando. FL) https://t.co/Qa6jTfRxYz,1,0
@JetBlue We're still waiting patiently in Manchester #mht,1,0
@DeltaAssist we are having to drive around the mountain anyone utilizing interstate 80 is not going to make flight DL1180 please delay,1,0
@AmericanAir the case must be with the AA CEO if i'm waiting this long for a resolution?!? #AAFail,0,0
"Overheard while boarding my @AmericanAir flight...""This plane has that 'new plane' smell!"" Didn't know that was a thing... ",1,0
Can't wait 2 visit next week! @JetBlue Secluded Klein #Cura_ao offers beaches. snorkeling &amp; sea turtles!,1,0
@AmericanAir is 3 hours late. despite the fact that I've been staring at the plane since 7:00.  Now. we learn that they forgot to put gas in,0,0
Fixed: we are @AmericanAir . and life is a fucking nightmare! In Miami! http://t.co/3rrIbsCoP5,1,0
Hanging out waiting for our @AmericanAir flight !! #jfkfun http://t.co/oUiBV1NXyG,1,0
Flt 1630 Estimated @United to arrive 30 minutes late my bag will not arrive with me 1k again too #travelsucks,0,0
Brake issue followed by air conditioner failure.Missing connection.No connecting flight 2rw NYC --&gt; Chicago#WeekendinAirport  @americanair,0,0
@united client services. I have canceled my flight from GSP To IAD UA3429. Because MECHANICAL ISSUES. I was traveling with 2 babies. #united,0,0
@SouthwestAir Hi. I'll never fly you internationally again. Bye.,0,0
@AmericanAir flt 4341 tomorrow canceled from phl - but never got a call to let us know. Business trip getting torpedoed. what's up?,0,0
@JetBlue what happened to you? #disappointed #usedtobesogood #travelnightmare,0,0
@AmericanAir We have a flight from LAX to Chicago still showing on time at 9am today despite blizzard in Chicago! Waiting for call back now,1,0
Guess I'll sleep on the street since @AmericanAir rebooked me on a flight for tomorrow and aren't offering me a hotel room. #bad,0,0
@SouthwestAir why do you have flights to Cabo (sjd) almost everyday from Tulsa but zero return flights?! #worthless,0,0
Grandbaby trip!! @SouthwestAir can't wait to get there! ,1,0
@DeltaAssist on hold for the past 20 mins. I need to change my flight b/c of the storm in ATL tomorrow. Are the change fees waived?,1,0
@SouthwestAir I have used you guys for most my travels. but this last experience I will never use southwest again! #worstcustomerservice,0,0
@united After what I have experienced today. I will never fly on your airline again.,0,0
@DeltaAssist How do I get seat assignments on upcoming flights? The phone wait is over 5 hours,0,0
Can't wait for the @united ice cream with caramel sauce on tonight's IAD-GVA flight.,1,0
@VirginAmerica Wait. really? Is that real? I've never noticed it before. I always use the touch screen.,1,0
@AmericanAir flight was cancelled 1726 Philly to Boston. Any chance you can find me a way there tonight? I rebooked for 6:15 tomorrow but...,1,0
@united I would but $100 isn't going to get me very far at all. I would think I would get more since it started out mechanical with plane,1,0
@DeltaAssist about how long should I wait to hear back from delta after I submit a complaint/compliment? #DL1196,1,0
@SouthwestAir what time does the check in desk open at FLL. A lot of people waiting in line.,1,0
Paid more money to take a connecting flight &amp; switched back to economy from first cause of a storm that never happened THNX @AmericanAir,1,0
@DeltaAssist trying to change a flight but got an error (#101740) what can I do. I am overseas and the help wait time is 1 hr+,1,0
"Really @VirginAmerica ? A 55 min call wait time without the option of a call back? How have ""operations been impacted"" for the last year?",0,0
.@JetBlue how do u charge for a movie thats longer then the flight? #JetBlue #airlines,1,0
Waiting to board a @SouthwestAir flight. I wondered how its queue-to-board-by-group/number system might work in Asia. #mayhem,1,0
@AlaskaAir  we did yesterday and again today cause your dept never filed the 1st one.,1,0
@AmericanAir When will you issue a travel advisory/waive fees for Boston departures scheduled during Sunday's predicted storm?,1,0
More @JetBlue flights to #Haiti announced today. What are you waiting for? http://t.co/jf0KceVHDL #JoinUs #VisitHaiti,1,0
@VirginAmerica Is the live chat not working? I have a few questions about my flight,1,0
@united a snow storm is confirmed for Boston on Sunday. do I need to wait for cancellation of flight b4 I can change it?,1,0
@AmericanAir I passed by our national airport in Trinidad and Tobago today and saw one of the new planes can't wait to fly in one,1,0
Just saw a wild @JetBlue FDNY Livery plane while waiting for the bus...,1,0
Waiting for my @jetblue  #TeamBlue #jetblue #alwaysworking #coldbutlovingit http://t.co/IuiHPLEPAz,1,0
@united Economy Plus feels cramped in the 737. Reminds me of Big Grab Doritos bag ... It gets smaller over time ...,1,0
@AlaskaAir can't wait for the August specials. Getting closer!,1,0
@JetBlue hi guys! do you know how likely it will be that my Flight 289 on Thursday the 12th will be delayed or cancelled? thanks much!,1,0
@AmericanAir I board very quickly #ivedoneithundredsoftimes that wasn't the issue somebody changed the rules,1,0
.@VirginAmerica. FYI--your systems are blowing up. Website just broke. Used web b/c phone is &gt;40 min wait. Chat broken. Good Luck.,1,0
So @SouthwestAir kicked my wife &amp; two little ones off plane bc my 5 yr old threw up in a bag (nervous stomach). I'm speechless...,0,0
I will never fly @VirginAmerica again,0,0
@DeltaAssist I am disgusted with Delta.  I travel frequently business but will choose another airline.  They lost a 20 year loyal customer,0,0
@DeltaAssist I'm not able to log in to http://t.co/OVX5pRJlR2 or the Delta app on iOS.  Are they down or is the issue on my end?,1,0
@DeltaAssist Hi. Having issues with the updated iOS app. Known?,1,0
Waiting around in SLC. waiting for @SouthwestAir to post the scavenger hunt clue!,1,0
Can't wait to see the velociraptor. sponsored by @AmericanAir! #CFinTX http://t.co/oV9lqBc6Hc,1,0
@JetBlue cant wait to fly with you guys soon im to happy....were is the home  base?!,1,0
Becuase they would always wait for me....let's wait for @AmericanAir flight attendant to show up #NOT #AA3295,1,0
"@SouthwestAir any idea if there will be any ""spring sales"" soon for travel from late August to early September? Going from PA to LAX.",1,0
@AmericanAir how long do I need to wait for a call from customer relations. Its been over a week since I sent my third email,0,0
@DeltaAssist I'm about to print my boarding pass and notice they combined half of my middle name with my first name. Will this be an issue?,1,0
Air to Air in #MAD @AmericanAir http://t.co/xvatHEiQdc,1,0
@JetBlue Are you guys having an issue with your flight tracking on both the app and web today?,1,0
@DeltaAssist I need a flight for 3 ppl to Nashville from NYC asap. There can be a connecting flight in between. Your wait time to speak to a,1,0
"Can't wait to fly with you guys again!! ""@JetBlue: Our fleet's on fleek. http://t.co/OIxLJcxXtg",1,0
@united less than 2 weeks until we fly out to New York with yourselves - can't wait! Our most favourite city in the world!,1,0
@DeltaAssist Hello wanted to ask if you will have any late afternoon flights in May from LAX to Gatwick on the 20th,1,0
@united can US citizens w/ US billing addresses not buy one-way tix from Canada to US? Looking to book return but wait on booking departure.,1,0
